"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","E00060603","E00060603",223,223,0
"2021","E00060604","E00060604",248,248,0
"2021","E00060605","E00060605",287,287,0
"2021","E00060970","E00060970",297,297,0
"2021","E00060972","E00060972",350,350,0
"2021","E00060973","E00060973",269,269,0
"2021","E00060974","E00060974",297,288,9
"2021","E00060975","E00060975",362,362,0
"2021","E00060965","E00060965",311,311,0
"2021","E00060966","E00060966",242,242,0
"2021","E00060971","E00060971",441,441,0
"2021","E00060977","E00060977",116,116,0
"2021","E00060979","E00060979",411,411,0
"2021","E00060967","E00060967",558,558,0
"2021","E00060968","E00060968",371,371,0
"2021","E00060969","E00060969",382,382,0
"2021","E00060978","E00060978",314,314,0
"2021","E00060983","E00060983",344,344,0
"2021","E00060576","E00060576",305,305,0
"2021","E00060579","E00060579",385,385,0
"2021","E00060590","E00060590",409,409,0
"2021","E00060591","E00060591",299,299,0
"2021","E00060592","E00060592",295,295,0
"2021","E00060593","E00060593",280,280,0
"2021","E00060574","E00060574",361,361,0
"2021","E00060575","E00060575",317,317,0
"2021","E00060577","E00060577",350,350,0
"2021","E00060578","E00060578",395,395,0
"2021","E00060594","E00060594",345,345,0
"2021","E00060584","E00060584",282,282,0
"2021","E00060586","E00060586",256,256,0
"2021","E00060587","E00060587",302,302,0
"2021","E00060588","E00060588",268,268,0
"2021","E00060589","E00060589",372,372,0
"2021","E00060580","E00060580",224,224,0
"2021","E00060581","E00060581",362,362,0
"2021","E00060582","E00060582",338,338,0
"2021","E00060583","E00060583",363,363,0
"2021","E00060585","E00060585",328,328,0
"2021","E00060785","E00060785",371,371,0
"2021","E00060786","E00060786",398,398,0
"2021","E00060793","E00060793",316,316,0
"2021","E00060796","E00060796",353,353,0
"2021","E00060797","E00060797",318,318,0
"2021","E00060787","E00060787",435,435,0
"2021","E00060790","E00060790",348,348,0
"2021","E00060795","E00060795",297,287,10
"2021","E00060805","E00060805",332,332,0
"2021","E00060808","E00060808",335,335,0
"2021","E00060788","E00060788",268,268,0
"2021","E00060789","E00060789",521,521,0
"2021","E00060791","E00060791",379,379,0
"2021","E00060792","E00060792",372,368,4
"2021","E00060794","E00060794",390,390,0
"2021","E00060798","E00060798",405,405,0
"2021","E00060799","E00060799",364,364,0
"2021","E00060800","E00060800",275,275,0
"2021","E00060802","E00060802",312,312,0
"2021","E00174113","E00174113",344,344,0
"2021","E00174114","E00174114",434,434,0
"2021","E00174115","E00174115",242,242,0
"2021","E00060803","E00060803",385,383,2
"2021","E00060804","E00060804",274,249,25
"2021","E00060806","E00060806",362,362,0
"2021","E00060807","E00060807",525,525,0
"2021","E00060809","E00060809",404,345,59
"2021","E00060935","E00060935",266,266,0
"2021","E00060936","E00060936",282,282,0
"2021","E00060937","E00060937",340,340,0
"2021","E00060945","E00060945",323,323,0
"2021","E00060947","E00060947",297,297,0
"2021","E00060938","E00060938",340,340,0
"2021","E00060948","E00060948",333,333,0
"2021","E00060950","E00060950",311,311,0
"2021","E00060952","E00060952",317,316,1
"2021","E00060953","E00060953",322,322,0
"2021","E00060934","E00060934",239,239,0
"2021","E00060939","E00060939",314,314,0
"2021","E00060943","E00060943",342,342,0
"2021","E00060949","E00060949",279,279,0
"2021","E00060951","E00060951",170,170,0
"2021","E00060954","E00060954",311,311,0
"2021","E00060940","E00060940",399,399,0
"2021","E00060941","E00060941",310,310,0
"2021","E00060942","E00060942",308,308,0
"2021","E00060944","E00060944",310,310,0
"2021","E00060946","E00060946",273,273,0
"2021","E00060615","E00060615",209,209,0
"2021","E00060620","E00060620",320,260,60
"2021","E00060625","E00060625",263,255,8
"2021","E00174107","E00174107",292,236,56
"2021","E00174117","E00174117",124,124,0
"2021","E00174118","E00174118",373,224,149
"2021","E00060616","E00060616",117,117,0
"2021","E00060619","E00060619",263,263,0
"2021","E00060628","E00060628",257,257,0
"2021","E00060629","E00060629",225,225,0
"2021","E00060631","E00060631",317,317,0
"2021","E00060614","E00060614",354,354,0
"2021","E00060618","E00060618",204,204,0
"2021","E00060622","E00060622",358,358,0
"2021","E00060627","E00060627",318,318,0
"2021","E00060630","E00060630",262,262,0
"2021","E00060617","E00060617",333,305,28
"2021","E00060621","E00060621",358,358,0
"2021","E00060623","E00060623",289,289,0
"2021","E00060624","E00060624",367,364,3
"2021","E00060558","E00060558",283,283,0
"2021","E00060559","E00060559",331,331,0
"2021","E00060561","E00060561",300,300,0
"2021","E00060562","E00060562",265,265,0
"2021","E00060572","E00060572",244,244,0
"2021","E00060556","E00060556",334,334,0
"2021","E00060565","E00060565",342,342,0
"2021","E00060567","E00060567",346,346,0
"2021","E00060568","E00060568",368,368,0
"2021","E00060566","E00060566",299,299,0
"2021","E00060569","E00060569",395,395,0
"2021","E00060570","E00060570",350,350,0
"2021","E00060571","E00060571",367,367,0
"2021","E00060573","E00060573",545,545,0
"2021","E00060557","E00060557",312,312,0
"2021","E00060560","E00060560",399,379,20
"2021","E00060563","E00060563",419,416,3
"2021","E00060564","E00060564",338,338,0
"2021","E00060757","E00060757",271,271,0
"2021","E00060758","E00060758",260,260,0
"2021","E00060759","E00060759",316,316,0
"2021","E00060760","E00060760",234,234,0
"2021","E00060762","E00060762",199,199,0
"2021","E00188211","E00188211",370,370,0
"2021","E00188224","E00188224",381,373,8
"2021","E00060751","E00060751",235,235,0
"2021","E00060763","E00060763",338,338,0
"2021","E00060764","E00060764",347,347,0
"2021","E00060765","E00060765",345,345,0
"2021","E00060766","E00060766",341,341,0
"2021","E00060750","E00060750",297,297,0
"2021","E00060752","E00060752",330,330,0
"2021","E00060753","E00060753",313,313,0
"2021","E00060754","E00060754",334,334,0
"2021","E00060755","E00060755",257,257,0
"2021","E00060756","E00060756",258,258,0
"2021","E00060778","E00060778",174,174,0
"2021","E00060780","E00060780",270,270,0
"2021","E00060781","E00060781",277,277,0
"2021","E00060782","E00060782",230,230,0
"2021","E00060784","E00060784",301,301,0
"2021","E00060767","E00060767",287,287,0
"2021","E00060768","E00060768",291,291,0
"2021","E00060769","E00060769",283,278,5
"2021","E00060770","E00060770",254,254,0
"2021","E00060771","E00060771",302,302,0
"2021","E00060772","E00060772",332,332,0
"2021","E00060773","E00060773",321,321,0
"2021","E00060774","E00060774",268,268,0
"2021","E00060775","E00060775",332,332,0
"2021","E00060776","E00060776",287,287,0
"2021","E00060777","E00060777",317,317,0
"2021","E00060779","E00060779",291,291,0
"2021","E00060783","E00060783",327,289,38
"2021","E00060633","E00060633",241,241,0
"2021","E00060637","E00060637",283,283,0
"2021","E00060641","E00060641",284,284,0
"2021","E00060646","E00060646",292,292,0
"2021","E00188215","E00188215",369,369,0
"2021","E00188245","E00188245",338,338,0
"2021","E00188281","E00188281",352,352,0
"2021","E00188293","E00188293",372,372,0
"2021","E00188312","E00188312",316,316,0
"2021","E00060635","E00060635",247,247,0
"2021","E00060638","E00060638",244,244,0
"2021","E00060639","E00060639",251,251,0
"2021","E00060640","E00060640",292,292,0
"2021","E00060643","E00060643",417,417,0
"2021","E00060644","E00060644",453,453,0
"2021","E00060645","E00060645",256,256,0
"2021","E00060648","E00060648",308,308,0
"2021","E00060649","E00060649",267,267,0
"2021","E00060650","E00060650",290,290,0
"2021","E00060632","E00060632",279,279,0
"2021","E00060634","E00060634",311,311,0
"2021","E00060636","E00060636",317,317,0
"2021","E00060647","E00060647",313,313,0
"2021","E00060852","E00060852",285,285,0
"2021","E00060860","E00060860",265,265,0
"2021","E00060861","E00060861",274,274,0
"2021","E00060862","E00060862",237,237,0
"2021","E00060863","E00060863",259,259,0
"2021","E00060864","E00060864",580,580,0
"2021","E00060848","E00060848",545,545,0
"2021","E00060849","E00060849",409,398,11
"2021","E00060850","E00060850",306,306,0
"2021","E00060851","E00060851",309,309,0
"2021","E00060853","E00060853",302,302,0
"2021","E00060854","E00060854",323,322,1
"2021","E00060855","E00060855",247,247,0
"2021","E00060856","E00060856",259,259,0
"2021","E00060857","E00060857",270,270,0
"2021","E00060858","E00060858",220,220,0
